website,wayback_url,wayback_ts,res,request_link,original_ts,timediff_wb_orig,wb_before_or_after
https://tass.ru,http://web.archive.org/web/20211214220509/https://tass.ru/,2021-12-14 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214220509/https://tass.ru/', 'timestamp': '20211214220509'}}, 'timestamp': '202112142200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112142200,2021-12-14 22:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211215080547/https://tass.ru/,2021-12-15 08:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215080547/https://tass.ru/', 'timestamp': '20211215080547'}}, 'timestamp': '202112150800'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112150800,2021-12-15 08:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211215140553/https://tass.ru/,2021-12-15 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215140553/https://tass.ru/', 'timestamp': '20211215140553'}}, 'timestamp': '202112151400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112151400,2021-12-15 14:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211215220539/https://tass.ru/,2021-12-15 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215220539/https://tass.ru/', 'timestamp': '20211215220539'}}, 'timestamp': '202112152200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112152200,2021-12-15 22:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211216080903/https://tass.ru/,2021-12-16 08:09:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216080903/https://tass.ru/', 'timestamp': '20211216080903'}}, 'timestamp': '202112160800'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112160800,2021-12-16 08:00:00,0 days 00:09:00,after
https://tass.ru,http://web.archive.org/web/20211216140545/https://tass.ru/,2021-12-16 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216140545/https://tass.ru/', 'timestamp': '20211216140545'}}, 'timestamp': '202112161400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112161400,2021-12-16 14:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211216220505/https://tass.ru/,2021-12-16 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216220505/https://tass.ru/', 'timestamp': '20211216220505'}}, 'timestamp': '202112162200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112162200,2021-12-16 22:00:00,0 days 00:05:00,after
https://tass.com,http://web.archive.org/web/20211129080435/https://tass.com/,2021-11-29 08:04:00,"{'url': 'https://tass.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211129080435/https://tass.com/', 'timestamp': '20211129080435'}}, 'timestamp': '202111290800'}",https://archive.org/wayback/available?url=https://tass.com&timestamp=202111290800,2021-11-29 08:00:00,0 days 00:04:00,after
https://tass.com,http://web.archive.org/web/20211129140432/https://tass.com/,2021-11-29 14:04:00,"{'url': 'https://tass.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211129140432/https://tass.com/', 'timestamp': '20211129140432'}}, 'timestamp': '202111291400'}",https://archive.org/wayback/available?url=https://tass.com&timestamp=202111291400,2021-11-29 14:00:00,0 days 00:04:00,after
https://tass.com,http://web.archive.org/web/20211129220420/https://tass.com/,2021-11-29 22:04:00,"{'url': 'https://tass.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211129220420/https://tass.com/', 'timestamp': '20211129220420'}}, 'timestamp': '202111292200'}",https://archive.org/wayback/available?url=https://tass.com&timestamp=202111292200,2021-11-29 22:00:00,0 days 00:04:00,after
